Date,Open,High,Low,Close,Adj Close,Volume
2010-10-29,94.0,94.30000305175781,90.75,92.3499984741211,91.00870513916016,169890
2010-11-01,93.80000305175781,93.80000305175781,90.5999984741211,92.0,90.6637954711914,177859
2010-11-02,92.0999984741211,93.8499984741211,91.0,93.4000015258789,92.04345703125,198039
2010-11-03,95.0,95.0999984741211,94.0,95.05000305175781,93.66950988769531,33386
2010-11-04,96.30000305175781,96.6500015258789,95.4000015258789,96.4000015258789,94.99989318847656,41125
2010-11-08,98.5,100.0,96.5999984741211,96.6500015258789,95.24625396728516,47689
2010-11-09,95.80000305175781,97.0,95.30000305175781,95.30000305175781,93.91588592529297,40877
2010-11-10,95.30000305175781,95.30000305175781,93.5999984741211,93.9000015258789,92.53619384765625,44757
2010-11-11,94.19999694824219,94.9000015258789,92.1500015258789,92.25,90.91016387939453,44169
2010-11-12,90.75,93.5,90.44999694824219,92.0,90.6637954711914,40962
2010-11-15,91.0,92.94999694824219,90.19999694824219,90.55000305175781,89.23487091064453,45011
2010-11-16,90.5,92.30000305175781,90.5,92.0,90.6637954711914,49070
2010-11-18,92.0999984741211,92.8499984741211,90.25,90.30000305175781,88.9885025024414,18496
2010-11-19,89.5999984741211,91.75,88.55000305175781,90.4000015258789,89.08702087402344,17533
2010-11-22,89.5,91.30000305175781,89.05000305175781,91.1500015258789,89.82613372802734,11175
2010-11-23,90.80000305175781,92.30000305175781,90.0,91.4000015258789,90.07251739501953,17510
2010-11-24,90.30000305175781,93.0,90.30000305175781,91.55000305175781,90.2203369140625,17232
2010-11-25,92.30000305175781,93.0999984741211,90.55000305175781,92.80000305175781,91.45217895507812,11110
2010-11-26,93.0999984741211,93.5,91.25,91.25,89.92467498779297,11850
2010-11-29,92.0,92.5999984741211,90.0,91.94999694824219,90.61450958251953,11825
2010-11-30,91.5,93.5,90.3499984741211,92.05000305175781,90.71307373046875,47074
2010-12-01,93.44999694824219,93.44999694824219,90.5,92.4000015258789,91.05799102783203,61726
2010-12-02,92.5,92.9000015258789,91.9000015258789,92.5,91.15652465820312,67400
2010-12-03,93.0,93.19999694824219,91.0999984741211,92.9000015258789,91.55072021484375,62276
2010-12-06,93.0,94.30000305175781,92.0,93.19999694824219,91.84636688232422,51078
2010-12-07,92.55000305175781,94.30000305175781,91.44999694824219,92.80000305175781,91.45217895507812,61200
2010-12-08,93.69999694824219,93.80000305175781,92.25,93.0,91.64927673339844,60330
2010-12-09,92.9000015258789,92.9000015258789,92.5,92.5999984741211,91.25507354736328,59975
2010-12-10,93.5,94.0,91.30000305175781,92.69999694824219,91.3536148071289,68750
2010-12-13,93.80000305175781,94.25,92.69999694824219,92.94999694824219,91.5999984741211,66215
2010-12-14,93.0,93.80000305175781,92.0,92.19999694824219,90.86089324951172,56231
2010-12-15,92.5,93.5999984741211,91.5,92.0999984741211,90.76233673095703,56670
2010-12-16,93.5,93.5,91.5999984741211,92.8499984741211,91.50144958496094,58583
2010-12-20,92.0,93.94999694824219,92.0,93.94999694824219,92.5854721069336,57940
2010-12-21,94.4000015258789,94.4000015258789,93.0,94.0,92.63475036621094,57820
2010-12-22,94.5,94.5999984741211,92.4000015258789,92.5999984741211,91.25507354736328,58756
2010-12-23,93.0,94.0,92.4000015258789,93.30000305175781,91.94491577148438,57799
2010-12-24,93.0,93.55000305175781,91.44999694824219,91.44999694824219,90.12178802490234,60083
2010-12-27,92.0,92.80000305175781,90.0999984741211,90.0999984741211,88.7913818359375,59761
2010-12-28,91.0,91.9000015258789,90.19999694824219,91.1500015258789,89.82613372802734,57676
2010-12-29,92.5,92.75,91.4000015258789,91.94999694824219,90.61450958251953,63037
2010-12-30,93.0999984741211,93.80000305175781,91.0999984741211,91.55000305175781,90.2203369140625,18242
2010-12-31,93.25,93.4000015258789,93.25,93.4000015258789,92.04345703125,34
2011-01-03,94.5,95.19999694824219,92.30000305175781,93.0,91.64927673339844,29211
2011-01-04,93.19999694824219,93.4000015258789,92.19999694824219,92.30000305175781,90.95944213867188,30718
2011-01-05,93.5,93.5,90.44999694824219,90.44999694824219,89.13629913330078,20218
2011-01-06,90.0,92.0999984741211,89.05000305175781,92.0999984741211,90.76233673095703,30161
2011-01-07,93.4000015258789,93.4000015258789,90.30000305175781,90.30000305175781,88.9885025024414,2201
2011-01-10,90.5,91.80000305175781,90.0,90.9000015258789,89.57977294921875,32292
2011-01-11,90.0,90.0,89.1500015258789,89.1500015258789,87.85518646240234,2947
2011-01-12,90.0,90.0,87.4000015258789,87.4000015258789,86.130615234375,15186
2011-01-13,88.0,89.1500015258789,85.6500015258789,88.8499984741211,87.55955505371094,45214
2011-01-14,87.5,90.4000015258789,87.5,89.5,88.20011901855469,51511
2011-01-17,90.5,90.9000015258789,89.0,89.69999694824219,88.39718627929688,60416
2011-01-18,91.05000305175781,91.0999984741211,90.5,90.5,89.18558502197266,57256
2011-01-19,91.19999694824219,91.4000015258789,90.0,91.0,89.6783218383789,59789
2011-01-20,90.5999984741211,91.8499984741211,90.0,90.0999984741211,88.7913818359375,44410
2011-01-21,91.19999694824219,91.69999694824219,90.30000305175781,90.3499984741211,89.0377426147461,80131
2011-01-24,91.5,91.5,90.0999984741211,90.6500015258789,89.33340454101562,50969
2011-01-25,92.4000015258789,92.4000015258789,90.6500015258789,91.1500015258789,89.82613372802734,32250
2011-01-27,91.4000015258789,91.75,90.0,90.1500015258789,88.84066009521484,36189
2011-01-28,91.44999694824219,91.44999694824219,89.69999694824219,89.69999694824219,88.39718627929688,30803
2011-01-31,89.5,91.0999984741211,89.5,90.5,89.18558502197266,34047
2011-02-01,91.9000015258789,92.0,89.5,89.5,88.20011901855469,31648
2011-02-02,90.5999984741211,90.80000305175781,90.0,90.75,89.43195343017578,33100
2011-02-03,91.5,92.0,91.0,91.3499984741211,90.02323913574219,33610
2011-02-04,92.30000305175781,92.3499984741211,90.05000305175781,91.19999694824219,89.87539672851562,32593
2011-02-07,92.1500015258789,92.19999694824219,90.0999984741211,91.05000305175781,89.72761535644531,35558
2011-02-08,92.4000015258789,92.4000015258789,89.9000015258789,90.19999694824219,88.88993835449219,33867
2011-02-09,91.5999984741211,91.5999984741211,89.80000305175781,91.19999694824219,89.87539672851562,36294
2011-02-10,92.30000305175781,92.30000305175781,89.5,89.5999984741211,88.29865264892578,33975
2011-02-11,90.80000305175781,91.30000305175781,88.5,90.55000305175781,89.23487091064453,62602
2011-02-14,91.0,92.0,91.0,91.25,89.92467498779297,50329
2011-02-15,90.5,93.0,89.5,92.3499984741211,91.00870513916016,51880
2011-02-16,92.4000015258789,93.30000305175781,91.80000305175781,92.80000305175781,91.45217895507812,53914
2011-02-17,93.30000305175781,93.69999694824219,91.4000015258789,91.4000015258789,90.07251739501953,51513
2011-02-18,93.0,93.0,91.30000305175781,91.3499984741211,90.02323913574219,50731
2011-02-21,92.30000305175781,92.30000305175781,91.0999984741211,91.44999694824219,90.12178802490234,35506
2011-02-22,92.0,92.4000015258789,91.19999694824219,91.55000305175781,90.2203369140625,35502
2011-02-23,91.69999694824219,92.30000305175781,90.30000305175781,91.9000015258789,90.56525421142578,35107
